"Category";"Series 1"
"BELSUNCE";8825,0562306087
"SAINT CHARLES";8390,841388659357
"LE CHAPITRE";6497,17534181393
"OPERA";5468,97024965604
"THIERS";4995,87484165635
"NOAILLES";4304,081947605623
