Tranche d'âge,quartiers,population_count,arrondissements,secteur
65-79 ans,PONT DE VIVAUX,740,10eme arrondissement,5EME SECTEUR
80 ans ou plus,PONT DE VIVAUX,337,10eme arrondissement,5EME SECTEUR
0-2 ans,SAINT LOUP,491,10eme arrondissement,5EME SECTEUR
3-5 ans,SAINT LOUP,529,10eme arrondissement,5EME SECTEUR
6-10 ans,SAINT LOUP,977,10eme arrondissement,5EME SECTEUR
11-17 ans,SAINT LOUP,1337,10eme arrondissement,5EME SECTEUR
18-24 ans,SAINT LOUP,1171,10eme arrondissement,5EME SECTEUR
25-39 ans,SAINT LOUP,2536,10eme arrondissement,5EME SECTEUR
40-54 ans,SAINT LOUP,2673,10eme arrondissement,5EME SECTEUR
55-64 ans,SAINT LOUP,2247,10eme arrondissement,5EME SECTEUR
65-79 ans,SAINT LOUP,2293,10eme arrondissement,5EME SECTEUR
80 ans ou plus,SAINT LOUP,1158,10eme arrondissement,5EME SECTEUR
0-2 ans,SAINT TRONC,504,10eme arrondissement,5EME SECTEUR
3-5 ans,SAINT TRONC,469,10eme arrondissement,5EME SECTEUR
6-10 ans,SAINT TRONC,869,10eme arrondissement,5EME SECTEUR
11-17 ans,SAINT TRONC,1350,10eme arrondissement,5EME SECTEUR
18-24 ans,SAINT TRONC,1275,10eme arrondissement,5EME SECTEUR
25-39 ans,SAINT TRONC,2632,10eme arrondissement,5EME SECTEUR
40-54 ans,SAINT TRONC,2586,10eme arrondissement,5EME SECTEUR
55-64 ans,SAINT TRONC,1725,10eme arrondissement,5EME SECTEUR
65-79 ans,SAINT TRONC,2081,10eme arrondissement,5EME SECTEUR
80 ans ou plus,SAINT TRONC,1170,10eme arrondissement,5EME SECTEUR
0-2 ans,LA TIMONE,211,10eme arrondissement,5EME SECTEUR
3-5 ans,LA TIMONE,170,10eme arrondissement,5EME SECTEUR
6-10 ans,LA TIMONE,262,10eme arrondissement,5EME SECTEUR
11-17 ans,LA TIMONE,414,10eme arrondissement,5EME SECTEUR
18-24 ans,LA TIMONE,1178,10eme arrondissement,5EME SECTEUR
25-39 ans,LA TIMONE,1176,10eme arrondissement,5EME SECTEUR
40-54 ans,LA TIMONE,1011,10eme arrondissement,5EME SECTEUR
55-64 ans,LA TIMONE,561,10eme arrondissement,5EME SECTEUR
