Tranche d'âge,quartiers,population_count,arrondissements,secteur
25-39 ans,MENPENTI,1076,10EME ARRONDISSEMENT,5EME SECTEUR
40-54 ans,MENPENTI,794,10EME ARRONDISSEMENT,5EME SECTEUR
55-64 ans,MENPENTI,536,10EME ARRONDISSEMENT,5EME SECTEUR
65-79 ans,MENPENTI,400,10EME ARRONDISSEMENT,5EME SECTEUR
80 ans ou plus,MENPENTI,192,10EME ARRONDISSEMENT,5EME SECTEUR
0-2 ans,PONT DE VIVAUX,315,10EME ARRONDISSEMENT,5EME SECTEUR
3-5 ans,PONT DE VIVAUX,258,10EME ARRONDISSEMENT,5EME SECTEUR
6-10 ans,PONT DE VIVAUX,386,10EME ARRONDISSEMENT,5EME SECTEUR
11-17 ans,PONT DE VIVAUX,489,10EME ARRONDISSEMENT,5EME SECTEUR
18-24 ans,PONT DE VIVAUX,722,10EME ARRONDISSEMENT,5EME SECTEUR
25-39 ans,PONT DE VIVAUX,1616,10EME ARRONDISSEMENT,5EME SECTEUR
40-54 ans,PONT DE VIVAUX,1143,10EME ARRONDISSEMENT,5EME SECTEUR
55-64 ans,PONT DE VIVAUX,648,10EME ARRONDISSEMENT,5EME SECTEUR
65-79 ans,PONT DE VIVAUX,740,10EME ARRONDISSEMENT,5EME SECTEUR
80 ans ou plus,PONT DE VIVAUX,337,10EME ARRONDISSEMENT,5EME SECTEUR
0-2 ans,SAINT LOUP,491,10EME ARRONDISSEMENT,5EME SECTEUR
3-5 ans,SAINT LOUP,529,10EME ARRONDISSEMENT,5EME SECTEUR
6-10 ans,SAINT LOUP,977,10EME ARRONDISSEMENT,5EME SECTEUR
11-17 ans,SAINT LOUP,1337,10EME ARRONDISSEMENT,5EME SECTEUR
18-24 ans,SAINT LOUP,1171,10EME ARRONDISSEMENT,5EME SECTEUR
25-39 ans,SAINT LOUP,2536,10EME ARRONDISSEMENT,5EME SECTEUR
40-54 ans,SAINT LOUP,2673,10EME ARRONDISSEMENT,5EME SECTEUR
55-64 ans,SAINT LOUP,2247,10EME ARRONDISSEMENT,5EME SECTEUR
65-79 ans,SAINT LOUP,2293,10EME ARRONDISSEMENT,5EME SECTEUR
